Player Name,Team,Kills,Attacking Errors,Attacking Attempts,Attacks Per Match
A. Nikolov,BUL,63,15,36,21.00
Reggers,BEL,47,13,29,23.50
Ahyi,NED,46,18,29,15.33
T. Štern,SLO,44,12,29,14.67
Bagunas,PHI,43,9,25,21.50
Jokela,FIN,42,15,16,21.00
Ilkhbayri . A,LBA,41,21,35,13.67
Mujanović,SLO,39,8,25,13.00
A. Lagumdzija,TUR,38,9,21,12.67
Röhrs,GER,37,12,34,12.33
Y. Oughlaf,QAT,37,16,40,12.33
Koops,NED,36,6,31,12.00
N. Marques,POR,35,7,27,11.67
J. Pinto,POR,35,8,26,11.67
Parraguirre,CHI,33,11,35,11.00
Hoag,CAN,32,13,21,10.67
Mandıracı,TUR,32,16,19,10.67
Kukartsev,ARG,32,6,25,16.00
Ewert,USA,31,6,18,10.33
Sho,CAN,31,14,20,10.33
Abulababa,LBA,31,11,19,10.33
Yant,CUB,31,10,30,10.33
Z. Štern,SLO,31,12,22,10.33
Balean,ROU,31,12,24,10.33
Miyaura,JPN,30,15,23,10.00
Grozer,GER,30,11,23,10.00
Amaranto,COL,29,9,17,9.67
Ben Romdhane.O,TUN,28,7,18,14.00
Nikola,QAT,28,12,24,9.33
Marttila,FIN,0,1,0,0.00
Patry,FRA,28,6,26,14.00
Masso,CUB,27,10,26,9.00
Asparuhov,BUL,27,3,14,9.00
Palonsky,ARG,27,6,22,13.50
Luburić,SRB,27,9,20,13.50
Bottolo,ITA,27,9,17,13.50
Lourenço,POR,26,12,26,8.67
Kurek,POL,26,9,19,8.67
Arthur,BRA,26,6,24,13.00
Poriya,IRI,25,9,22,12.50
Garcia,USA,24,8,21,8.00
Benavides,COL,24,9,28,8.00
Krick,GER,24,1,5,8.00
Hajipour,IRI,24,7,16,12.00
Seif Abed,EGY,24,9,16,12.00
Champlin,USA,23,5,16,7.67
Brehme,GER,23,4,7,7.67
Semeniuk,POL,23,1,6,7.67
Elhossiny,EGY,23,9,14,11.50
Deroo,BEL,23,10,24,11.50
Vasina,CZE,23,2,15,11.50
Wang B.,CHN,23,2,22,11.50
Ran,JPN,22,8,22,7.33
Ishikawa,JPN,22,9,20,7.33
Tuinstra,NED,22,13,30,7.33
Aravena,CHI,22,8,20,7.33
Peta,ROU,22,9,26,7.33
A.Said,EGY,22,6,15,11.00
