Player Name,Team,Blocks,Blocking Errors,Rebounds,Blocks Per Match
Kozamernik,SLO,11,14,17,3.67
Tyynismaa,FIN,11,11,26,5.50
Cveticanin,POR,9,7,14,3.00
Petkov,BUL,0,0,1,0.00
Grozdanov,BUL,9,8,10,3.00
Alghoul,LBA,8,8,9,2.67
McCarthy,CAN,7,8,7,2.33
N. Marques,POR,7,7,5,2.33
Atanasov,BUL,7,3,3,2.33
Belal,QAT,7,7,9,2.33
T. Štern,SLO,7,9,12,2.33
Bartha,ROU,7,12,15,2.33
Hamada,EGY,7,6,5,3.50
Flavio,BRA,7,7,11,3.50
Peng S.K.,CHN,7,16,9,3.50
Aponza,COL,6,9,8,2.00
Gyimah,CAN,6,12,6,2.00
Sho,CAN,6,10,5,2.00
Concepcion,CUB,6,12,11,2.00
Kelton,POR,6,13,9,2.00
Bedirhan,TUR,6,4,17,2.00
Grozer,GER,6,9,13,2.00
Fornal,POL,6,5,3,2.00
Chitigoi,ROU,6,3,6,2.00
Gallego,ARG,6,9,4,3.00
Kukartsev,ARG,6,4,8,3.00
Savonsalmi,FIN,6,6,10,3.00
Hajipour,IRI,6,5,6,3.00
Judson,BRA,6,12,7,3.00
Kadhi A,TUN,5,13,11,2.50
Jendryk,USA,5,8,11,1.67
Ararat,COL,5,7,9,1.67
Masso,CUB,5,9,8,1.67
Brehme,GER,5,8,10,1.67
Van Der Ent,NED,5,11,9,1.67
Plak,NED,5,7,11,1.67
Vicentin,ARG,5,4,4,2.50
Marttila,FIN,0,0,0,0
Morteza,IRI,5,7,2,2.50
Drozd,UKR,5,7,10,2.50
Reggers,BEL,5,7,6,2.50
Deroo,BEL,5,7,8,2.50
Coolman,BEL,5,5,16,2.50
Youngseok,KOR,5,3,5,2.50
Garcia,USA,4,8,8,1.33
Ewert,USA,4,2,2,1.33
Ilkhbayri . A,LBA,4,13,5,1.33
Alwaddani,LBA,4,3,10,1.33
Simón,CUB,4,11,8,1.33
Thondike,CUB,4,4,6,1.33
J. Pinto,POR,4,6,6,1.33
Larry,JPN,4,4,13,1.33
A. Lagumdzija,TUR,4,4,4,1.33
Pajenk,SLO,4,10,6,1.33
Aravena,CHI,4,6,3,1.33
Kurek,POL,4,4,7,1.33
Kochanowski,POL,4,12,6,1.33
Loser Bruno,ARG,4,12,5,2.00
Rotty,BEL,4,4,5,2.00
Perić,SRB,4,3,3,2.00
Chinenyeze,FRA,4,5,11,2.00
Patry,FRA,4,2,6,2.00
Le Goff,FRA,4,1,1,2.00
Donghyeok,KOR,4,8,4,2.00
Li Y.Z.,CHN,4,6,7,2.00
Michieletto,ITA,4,5,3,2.00
Anzani,ITA,4,6,2,2.00
Russo,ITA,4,8,4,2.00
Dour,ALG,4,3,5,2.00
Bagunas,PHI,3,6,4,1.50
Espejo,PHI,3,5,3,1.50
Josafat,PHI,3,3,5,1.50
Mbareki S.,TUN,3,6,7,1.50
Ben Romdhane.O,TUN,3,3,3,1.50
Bongui.A,TUN,3,10,2,1.50
McHenry,USA,3,10,10,1.00
Champlin,USA,3,4,5,1.00
Piza,COL,3,8,4,1.00
Herr,CAN,3,4,4,1.00
Heslinga,CAN,3,5,4,1.00
Abu Zariba,LBA,3,4,9,1.00
Yant,CUB,3,8,8,1.00
Matić,TUR,3,13,10,1.00
Mandıracı,TUR,3,3,8,1.00
Yenipazar,TUR,3,4,10,1.00
Röhrs,GER,3,8,3,1.00
Krick,GER,3,18,11,1.00
Asparuhov,BUL,3,5,6,1.00
A. Nikolov,BUL,3,4,8,1.00
Ahyi,NED,3,7,11,1.00
Bak,NED,3,0,1,1.00
Pape,QAT,3,5,2,1.00
Ibrahim,QAT,3,10,2,1.00
Mujanović,SLO,3,13,14,1.00
Gago,CHI,3,6,4,1.00
Leon,POL,3,5,1,1.00
Peta,ROU,3,6,8,1.00
Mohammad,IRI,3,6,8,1.50
Yasso,EGY,3,5,5,1.50
Yanchuk,UKR,3,5,2,1.50
Semeniuk,UKR,3,7,9,1.50
Tupchii,UKR,3,5,4,1.50
Nedeljković,SRB,3,10,13,1.50
Galassi,ITA,3,2,2,1.50
Gargiulo,ITA,3,1,1,1.50
Ikken,ALG,3,6,4,1.50
Retamar,PHI,2,12,7,1.00
Malabunga,PHI,2,4,1,1.00
Ben Slimene K,TUN,2,4,5,1.00
Christenson,USA,2,5,10,0.67
Knigge,USA,2,2,5,0.67
Hoag,CAN,2,7,6,0.67
Young,CAN,2,1,3,0.67
Garwash,LBA,2,3,3,0.67
Lourenço,POR,2,8,4,0.67
Onodera,JPN,2,5,5,0.67
Miyaura,JPN,2,4,5,0.67
Tümer,TUR,2,3,2,0.67
M. Lagumdzija,TUR,2,2,5,0.67
Zimmermann,GER,2,3,9,0.67
Korenblek,NED,2,0,1,0.67
