Player Name,Team,Position,Age,Height
Yant,CUB,OUTSIDE HITTER,24,204cm
Faure,FRA,OPPOSITE SPIKER,25,202cm
John,GER,OPPOSITE SPIKER,24,204cm
A. Nikolov,BUL,OUTSIDE HITTER,21,207cm
Miyaura,JPN,OPPOSITE SPIKER,26,190cm
Možič,SLO,OUTSIDE HITTER,23,200cm
Yanchuk,UKR,OUTSIDE HITTER,26,197cm
Masso,CUB,OPPOSITE SPIKER,27,204cm
Mandıracı,TUR,OUTSIDE HITTER,23,206cm
Alan,BRA,OPPOSITE SPIKER,31,202cm
Tupchii,UKR,OPPOSITE SPIKER,33,194cm
Palonsky,ARG,OUTSIDE HITTER,26,198cm
Ahyi,NED,OPPOSITE SPIKER,27,200cm
Clevenot,FRA,OUTSIDE HITTER,31,199cm
Röhrs,GER,OUTSIDE HITTER,24,201cm
Sasak,POL,OPPOSITE SPIKER,28,208cm
Michieletto,ITA,OUTSIDE HITTER,23,211cm
Amin,IRI,OPPOSITE SPIKER,28,203cm
T. Štern,SLO,OPPOSITE SPIKER,29,200cm
Luburić,SRB,OPPOSITE SPIKER,31,202cm
Semeniuk,UKR,MIDDLE BLOCKER,31,210cm
Darlan,BRA,OPPOSITE SPIKER,23,192cm
Hofer,CAN,OUTSIDE HITTER,25,199cm
Kovalov,UKR,OUTSIDE HITTER,29,190cm
Koops,NED,OUTSIDE HITTER,24,190cm
Rychlicki,ITA,OPPOSITE SPIKER,28,204cm
Robinson,USA,OUTSIDE HITTER,23,202cm
Ivović,SRB,LIBERO,34,194cm
Kukartsev,ARG,OPPOSITE SPIKER,32,204cm
Wassenaar Ketrzynski,CAN,OPPOSITE SPIKER,25,208cm
Mujanović,SLO,OPPOSITE SPIKER,20,206cm
Honorato,BRA,LIBERO,28,190cm
Morteza,IRI,OUTSIDE HITTER,26,193cm
L. Bergmann,BRA,OUTSIDE HITTER,21,204cm
Concepcion,CUB,MIDDLE BLOCKER,27,202cm
Loser Bruno,ARG,MIDDLE BLOCKER,27,198cm
Antov,BUL,OPPOSITE SPIKER,21,196cm
Judson,BRA,MIDDLE BLOCKER,26,204cm
Szalpuk,POL,OUTSIDE HITTER,30,201cm
Flavio,BRA,MIDDLE BLOCKER,32,199cm
Lopez,CUB,OUTSIDE HITTER,28,189cm
Jiang C.,CHN,OPPOSITE SPIKER,31,205cm
Garcia,USA,OPPOSITE SPIKER,26,200cm
Semeniuk,POL,OUTSIDE HITTER,29,195cm
Poriya,IRI,OUTSIDE HITTER,21,198cm
Tuinstra,NED,OUTSIDE HITTER,25,200cm
Nedeljković,SRB,MIDDLE BLOCKER,27,205cm
Kozamernik,SLO,MIDDLE BLOCKER,29,204cm
Wen Z. H.,CHN,OPPOSITE SPIKER,25,201cm
Gargiulo,ITA,MIDDLE BLOCKER,26,200cm
Romanò,ITA,OPPOSITE SPIKER,28,201cm
Huetz,FRA,MIDDLE BLOCKER,25,202cm
Gomez,ARG,OPPOSITE SPIKER,22,191cm
McCarthy,CAN,MIDDLE BLOCKER,25,200cm
Bedirhan,TUR,MIDDLE BLOCKER,26,201cm
Mašulović V.,SRB,OUTSIDE HITTER,22,198cm
Porro L.,ITA,OUTSIDE HITTER,21,193cm
Brand,GER,OUTSIDE HITTER,27,194cm
Leon,POL,OUTSIDE HITTER,32,201cm
Yu Y.T.,CHN,OUTSIDE HITTER,27,186cm
Vicentin,ARG,OUTSIDE HITTER,25,197cm
Van Der Ent,NED,MIDDLE BLOCKER,27,208cm
Nowak J.,POL,MIDDLE BLOCKER,20,205cm
Lavia,ITA,OUTSIDE HITTER,25,200cm
Z. Štern,SLO,OUTSIDE HITTER,31,193cm
Li Y.Z.,CHN,MIDDLE BLOCKER,27,198cm
Asparuhov,BUL,OUTSIDE HITTER,25,201cm
Saadat,IRI,OPPOSITE SPIKER,23,205cm
Mohammad,IRI,MIDDLE BLOCKER,24,204cm
Otsuka,JPN,OUTSIDE HITTER,24,195cm
Ewert,USA,OUTSIDE HITTER,28,195cm
Esfandiar,IRI,OUTSIDE HITTER,26,209cm
Ji D.S.,CHN,OUTSIDE HITTER,33,194cm
Wang B.,CHN,OUTSIDE HITTER,24,195cm
Varga,CAN,OUTSIDE HITTER,22,200cm
Torwie,GER,MIDDLE BLOCKER,23,203cm
M. Lagumdzija,TUR,OUTSIDE HITTER,24,207cm
Maase,GER,MIDDLE BLOCKER,27,208cm
Gueye,FRA,MIDDLE BLOCKER,28,198cm
A. Lagumdzija,TUR,OPPOSITE SPIKER,26,211cm
Hobus,USA,OPPOSITE SPIKER,25,205cm
Štalekar,SLO,MIDDLE BLOCKER,29,214cm
Mašulović N.,SRB,MIDDLE BLOCKER,29,205cm
Champlin,USA,OUTSIDE HITTER,23,191cm
Grozdanov,BUL,MIDDLE BLOCKER,27,208cm
Tomita,JPN,OUTSIDE HITTER,28,190cm
Kai,JPN,OUTSIDE HITTER,21,200cm
Pothron,FRA,OUTSIDE HITTER,23,198cm
Galassi,ITA,MIDDLE BLOCKER,28,201cm
Heslinga,CAN,OUTSIDE HITTER,23,200cm
Louati,FRA,OUTSIDE HITTER,33,198cm
Petkov,BUL,MIDDLE BLOCKER,28,200cm
Ran,JPN,OUTSIDE HITTER,24,188cm
Mohwinkel,GER,LIBERO,22,196cm
Gyimah,CAN,MIDDLE BLOCKER,27,200cm
Bottolo,ITA,OUTSIDE HITTER,25,196cm
Sato,JPN,MIDDLE BLOCKER,25,204cm
Anzani,ITA,MIDDLE BLOCKER,33,204cm
Jendryk,USA,MIDDLE BLOCKER,30,208cm
Fornal,POL,OUTSIDE HITTER,28,200cm
Poręba,POL,MIDDLE BLOCKER,26,205cm
Kochanowski,POL,MIDDLE BLOCKER,28,199cm
Jakubiszak,POL,MIDDLE BLOCKER,27,210cm
McHenry,USA,MIDDLE BLOCKER,24,200cm
Zerba,ARG,MIDDLE BLOCKER,26,203cm
J. Gutierrez,CUB,OUTSIDE HITTER,23,194cm
Ishikawa,JPN,OUTSIDE HITTER,29,191cm
Sclater,CAN,OPPOSITE SPIKER,31,200cm
Young,CAN,OUTSIDE HITTER,24,195cm
Simón,CUB,MIDDLE BLOCKER,38,208cm
S. Nikolov,BUL,SETTER,18,209cm
Giannelli,ITA,SETTER,29,200cm
Eisa,IRI,MIDDLE BLOCKER,24,203cm
Henno,FRA,OUTSIDE HITTER,20,193cm
Gierżot,POL,OUTSIDE HITTER,23,208cm
Meijs,NED,OPPOSITE SPIKER,23,202cm
Poluian,UKR,OUTSIDE HITTER,27,198cm
Arthur,BRA,OUTSIDE HITTER,21,205cm
Matić,TUR,MIDDLE BLOCKER,30,211cm
Bračko,SLO,OUTSIDE HITTER,21,194cm
Todua,UKR,MIDDLE BLOCKER,33,208cm
Larry,JPN,MIDDLE BLOCKER,25,195cm
