Player Name,Team,Successful Receives,Receiving Errors,Service Receptions,Receives Per Match
Ivo Casas,POR,25,3,57,8.33
Palonsky,ARG,20,4,48,10.00
Lourenço,POR,19,4,36,6.33
Koops,NED,19,6,36,6.33
Nikola,QAT,18,3,60,6.00
Vasina,CZE,18,3,32,9.00
Espejo,PHI,17,1,35,8.50
Shoji,USA,17,1,23,5.67
Piza,COL,17,4,41,5.67
Heslinga,CAN,17,2,29,5.67
Elhossiny,EGY,17,2,45,8.50
Yant,CUB,16,3,60,5.33
D. Kolev,BUL,16,3,49,5.33
Jorna,NED,16,4,55,5.33
Marttila,FIN,1,0,2,0.50
Hoag,CAN,15,5,43,5.00
Garcia,CUB,15,3,35,5.00
B. Bayraktar,TUR,15,7,30,5.00
Atanasov,BUL,15,3,38,5.00
Ybanez,PHI,14,1,32,7.00
Brand,GER,14,3,38,4.67
A. Nikolov,BUL,14,2,21,4.67
Morteza,IRI,14,4,35,7.00
Louati,FRA,14,1,16,7.00
Subong,KOR,14,7,35,7.00
N. Marques,POR,13,10,35,4.33
Ran,JPN,13,1,42,4.33
Kovačič,SLO,13,4,49,4.33
Popiwczak,POL,13,2,34,4.33
Maique,BRA,13,2,28,6.50
Benavides,COL,12,6,52,4.00
Almarrug,LBA,12,9,42,4.00
Tuinstra,NED,12,2,33,4.00
Z. Štern,SLO,12,3,36,4.00
Aravena,CHI,12,4,36,4.00
Hazrat,IRI,12,2,15,6.00
Dour,ALG,12,6,31,6.00
Arman,IRI,11,1,15,5.50
M. Reda,EGY,11,5,33,5.50
Arthur,BRA,11,4,26,5.50
Qu Z.S.,CHN,11,2,32,5.50
Lopez,CUB,10,1,23,3.33
Renan,QAT,10,3,30,3.33
Kovalov,UKR,10,1,25,5.00
Galabov,CZE,10,0,23,5.00
Karamosli E,TUN,9,4,31,4.50
Korbosli T,TUN,9,3,19,4.50
Peta,ROU,9,2,31,3.00
Chitigoi,ROU,9,1,39,3.00
Köykkä,FIN,9,4,29,4.50
Deroo,BEL,9,2,27,4.50
Grebennikov,FRA,9,2,18,4.50
Garwash,LBA,8,10,47,2.67
Ogawa,JPN,8,3,15,2.67
Mandıracı,TUR,8,0,47,2.67
Semeniuk,POL,8,3,21,2.67
Suihkonen,FIN,8,0,26,4.00
Lantsoght,BEL,8,4,38,4.00
Negic,SRB,8,2,26,4.00
Ben Romdhane.O,TUN,7,5,17,3.50
Ewert,USA,7,4,23,2.33
Röhrs,GER,7,4,52,2.33
Klok,NED,7,1,5,2.33
Mujanović,SLO,7,10,47,2.33
A.Said,EGY,7,1,21,3.50
Boiko,UKR,7,3,11,3.50
Ngapeth,FRA,7,1,22,3.50
Bottolo,ITA,7,1,29,3.50
Currie,CAN,6,2,41,2.00
Kosinski,ROU,6,4,34,2.00
Danani,ARG,6,1,23,3.00
