Player Name,Team,Running Sets,Setting Errors,Still Sets,Sets Per Match
Fernando,BRA,507,3,611,33.80
Giannelli,ITA,350,4,596,23.33
Sanchez Pages,ARG,346,5,556,28.83
Yenipazar,TUR,290,0,632,24.17
Komenda,POL,274,1,473,24.91
Brizard,FRA,271,2,278,30.11
Arshia,IRI,266,6,447,22.17
Planinšič,SLO,252,1,428,21.00
Gomez,CUB,247,2,531,19.00
Shchytkov,UKR,239,3,417,19.92
Yu Y.C.,CHN,234,3,407,18.00
Zimmermann,GER,230,0,547,19.17
Oya,JPN,203,5,334,15.62
Tizi-Oualou,FRA,200,3,317,22.22
Elgert,CAN,200,2,377,16.67
S. Nikolov,BUL,199,1,461,18.09
Todorović,SRB,187,1,439,15.58
Keemink,NED,178,3,372,14.83
Berkhout,NED,173,1,313,14.42
Herr,CAN,165,1,264,13.75
Ma'a,USA,165,1,306,20.62
Firlej,POL,158,3,255,14.36
Najdič,SLO,152,2,335,10.13
Eiro,JPN,146,1,354,13.27
Jovović,SRB,128,2,170,16.00
Thondike,CUB,122,3,290,9.38
Wang H.B.,CHN,117,3,262,9.00
Sbertoli,ITA,110,0,125,10.00
Palev,BUL,106,1,181,8.83
Synytsia,UKR,99,3,201,12.38
Javad,IRI,90,2,193,7.50
Tille,GER,88,1,154,14.67
Rowan,USA,80,0,196,10.00
Isaacson,USA,68,1,159,8.50
Giraudo,ARG,62,3,161,5.17
Matheus G.,BRA,45,0,135,3.00
Vinčić,SLO,38,2,52,4.75
Yevstratov,UKR,30,0,52,7.50
Burggräf,GER,25,1,102,2.08
Chaboissant,FRA,21,0,50,5.25
Shimokawa,JPN,17,0,21,8.50
Toniutti,FRA,16,0,20,3.20
Kozub,POL,12,0,24,1.50
Ji D.S.,CHN,6,1,26,0.46
Mašulović N.,SRB,6,1,13,0.50
A. Nikolov,BUL,6,1,36,0.50
Z. Štern,SLO,6,1,25,0.55
Michieletto,ITA,6,0,44,0.55
Sasak,POL,5,0,26,0.33
Koops,NED,5,0,48,0.42
Ivović,SRB,5,2,61,0.42
Palonsky,ARG,5,0,50,0.42
Amin,IRI,5,1,22,0.50
Kovačič,SLO,5,1,66,0.36
Masso,CUB,5,0,34,0.38
Lopez,CUB,5,0,34,0.38
Qu Z.S.,CHN,4,2,58,0.31
Boninfante,ITA,4,0,44,1.00
Briggs,USA,4,1,18,0.50
Champlin,USA,4,0,20,0.33
Diez,FRA,4,0,53,0.31
