Player Name,Team,Position,positional_rating,rating_att,att_eff,att_vol,att_raw,rating_blk,blk_eff,blk_vol,blk_raw,rating_serv,serv_eff,serv_vol,serv_raw,rating_set,set_eff,set_vol,set_raw,rating_def,def_eff,def_vol,def_raw,rating_recv,recv_eff,recv_vol,recv_raw
A. Lagumdzija,TUR,OPPOSITE SPIKER,84.76,72.08,0.65,0.89,0.7,18.06,0.14,0.32,0.11,36.12,0.12,0.55,0.14,0.18,0.2,0.01,0.0,70.11,2.2,0.69,0.85,0.0,0.0,0.03,0.0
A. Nikolov,BUL,OUTSIDE HITTER,84.21,87.52,0.99,0.88,0.85,29.61,0.24,0.41,0.17,46.18,0.16,0.59,0.18,0.35,0.14,0.01,0.0,44.94,1.42,0.56,0.55,21.25,0.14,0.43,0.14
Adamczyk,POL,MIDDLE BLOCKER,17.61,13.09,1.25,0.16,0.13,15.05,0.23,0.24,0.09,3.36,0.04,0.11,0.01,0.0,0.0,0.0,0.0,0.0,-0.5,0.06,0.0,0.0,0.0,0.0,0.0
Adriano,BRA,OUTSIDE HITTER,3.81,0.82,0.1,0.05,0.01,0.57,0.14,0.02,0.0,5.94,0.1,0.12,0.02,0.0,0.0,0.0,0.0,2.17,0.75,0.07,0.03,2.62,0.18,0.07,0.02
Ahyi,NED,OPPOSITE SPIKER,67.67,76.03,0.94,0.8,0.74,26.27,0.22,0.38,0.15,3.33,0.04,0.11,0.01,0.07,0.08,0.01,0.0,0.0,-0.1,0.31,0.0,0.0,0.0,0.0,0.0
Alan,BRA,OPPOSITE SPIKER,100.0,91.71,1.14,0.86,0.89,48.49,0.24,0.59,0.29,14.05,0.07,0.32,0.06,0.09,0.11,0.01,0.0,29.64,1.17,0.43,0.36,0.0,0.0,0.01,0.0
Alexandre,BRA,LIBERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alonso,CUB,MIDDLE BLOCKER,18.63,8.4,1.11,0.12,0.08,19.95,0.18,0.32,0.12,0.0,0.0,0.0,0.0,0.06,0.33,0.0,0.0,1.51,0.43,0.06,0.02,0.0,-0.25,0.02,0.0
Amin,IRI,OPPOSITE SPIKER,78.49,80.62,0.97,0.82,0.78,12.5,0.12,0.26,0.07,29.23,0.11,0.48,0.12,0.4,0.18,0.01,0.0,39.11,1.6,0.49,0.48,0.0,-0.14,0.01,0.0
Antov,BUL,OPPOSITE SPIKER,37.47,42.06,0.9,0.49,0.41,5.03,0.1,0.14,0.03,14.1,0.1,0.26,0.06,0.04,0.14,0.0,0.0,10.97,0.53,0.26,0.13,0.0,0.0,0.0,0.0
Anzani,ITA,MIDDLE BLOCKER,37.79,16.49,1.4,0.19,0.16,40.03,0.18,0.56,0.24,1.37,0.02,0.08,0.01,0.03,0.08,0.0,0.0,5.4,0.64,0.14,0.07,0.48,0.11,0.02,0.0
Ariakhah,IRI,OPPOSITE SPIKER,7.99,6.53,1.33,0.09,0.06,6.49,1.0,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Arman,IRI,LIBERO,55.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.01,0.0,31.7,1.71,0.41,0.39,40.36,0.63,0.4,0.26
