Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency %,Total
1,Kozamernik,SLO,11,14,17,3.67,-7.14,42
1,Tyynismaa,FIN,11,11,26,5.50,0.00,48
2,Cveticanin,POR,9,7,14,3.00,6.67,30
2,Petkov,BUL,9,10,9,3.00,-3.57,28
2,Grozdanov,BUL,9,8,10,3.00,3.70,27
3,Alghoul,LBA,8,8,9,2.67,0.00,25
4,McCarthy,CAN,7,8,7,2.33,-4.55,22
4,N. Marques,POR,7,7,5,2.33,0.00,19
4,Atanasov,BUL,7,3,3,2.33,30.77,13
4,Belal,QAT,7,7,9,2.33,0.00,23
4,T. Štern,SLO,7,9,12,2.33,-7.14,28
4,Bartha,ROU,7,12,15,2.33,-14.71,34
4,Hamada,EGY,7,6,5,3.50,5.56,18
4,Flavio,BRA,7,7,11,3.50,0.00,25
4,Peng S.K.,CHN,7,16,9,3.50,-28.12,32
5,Aponza,COL,6,9,8,2.00,-13.04,23
5,Gyimah,CAN,6,12,6,2.00,-25.00,24
5,Sho,CAN,6,10,5,2.00,-19.05,21
5,Concepcion,CUB,6,12,11,2.00,-20.69,29
5,Kelton,POR,6,13,9,2.00,-25.00,28
5,Bedirhan,TUR,6,4,17,2.00,7.41,27
5,Grozer,GER,6,9,13,2.00,-10.71,28
5,Fornal,POL,6,5,3,2.00,7.14,14
5,Chitigoi,ROU,6,3,6,2.00,20.00,15
5,Gallego,ARG,6,9,4,3.00,-15.79,19
5,Kukartsev,ARG,6,4,8,3.00,11.11,18
5,Savonsalmi,FIN,6,6,10,3.00,0.00,22
5,Hajipour,IRI,6,5,6,3.00,5.88,17
5,Judson,BRA,6,12,7,3.00,-24.00,25
6,Kadhi A,TUN,5,13,11,2.50,-27.59,29
6,Jendryk,USA,5,8,11,1.67,-12.50,24
6,Ararat,COL,5,7,9,1.67,-9.52,21
6,Masso,CUB,5,9,8,1.67,-18.18,22
6,Brehme,GER,5,8,10,1.67,-13.04,23
6,Van Der Ent,NED,5,11,9,1.67,-24.00,25
6,Plak,NED,5,7,11,1.67,-8.70,23
6,Vicentin,ARG,5,4,4,2.50,7.69,13
6,Marttila,FIN,5,6,4,2.50,-6.67,15
6,Morteza,IRI,5,7,2,2.50,-14.29,14
6,Drozd,UKR,5,7,10,2.50,-9.09,22
6,Reggers,BEL,5,7,6,2.50,-11.11,18
6,Deroo,BEL,5,7,8,2.50,-10.00,20
6,Coolman,BEL,5,5,16,2.50,0.00,26
6,Youngseok,KOR,5,3,5,2.50,15.38,13
7,Garcia,USA,4,8,8,1.33,-20.00,20
7,Ewert,USA,4,2,2,1.33,25.00,8
