Player Name,Team,attacking_Kills,attacking_Attacking Errors,attacking_Attacking Attempts,attacking_Attacks Per Match,blocking_Blocks,blocking_Blocking Errors,blocking_Rebounds,blocking_Blocks Per Match,defense_Great Saves,defense_Defensive Errors,defense_Receptions,defense_Digs Per Match,receiving_Successful Receives,receiving_Receiving Errors,receiving_Service Receptions,receiving_Receives Per Match,serving_Aces,serving_Service Errors,serving_Service Attempts,serving_Serves Per Match,setting_Running Sets,setting_Setting Errors,setting_Still Sets,setting_Sets Per Match
A. Bakry,QAT,5,3,8,1.67,2,1,3,0.67,1,2,0,0.33,1,0,0,0.33,0,2,4,0.0,0,0,0,0.0
A. Lagumdzija,TUR,38,9,21,12.67,4,4,4,1.33,11,5,0,3.67,0,0,1,0.0,0,9,29,1.0,0,1,3,0.0
A. Nikolov,BUL,63,15,36,21.0,3,4,8,1.0,6,5,0,2.0,14,2,21,4.67,0,13,38,1.67,1,1,6,0.33
A. Ramezani,IRI,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.0,6,0,6,3.0
A. Seoudy,EGY,7,0,3,3.5,1,5,2,0.5,0,1,0,0.0,1,0,1,0.5,0,1,11,0.0,1,0,1,0.5
A.Ellakany,EGY,0,0,0,0.0,0,0,0,0.0,1,0,0,0.5,0,0,0,0.0,0,0,3,0.0,2,0,2,1.0
A.Elshahat,EGY,5,1,1,2.5,1,5,2,0.5,0,0,0,0.0,0,0,0,0.0,0,3,4,0.5,0,0,0,0.0
A.Said,EGY,22,6,15,11.0,1,9,2,0.5,5,5,0,2.5,7,1,21,3.5,0,5,22,0.5,0,0,3,0.0
Abdallah,QAT,5,2,2,1.67,1,4,3,0.33,1,0,0,0.33,0,0,0,0.0,0,3,5,0.0,0,0,1,0.0
Abdelmalek,LBA,0,0,0,0.0,0,0,0,0.0,4,9,0,1.33,0,0,2,0.0,0,0,0,0.0,0,1,6,0.0
Abi Ayad,ALG,0,0,0,0.0,0,0,0,0.0,4,3,0,2.0,6,4,25,3.0,0,0,0,0.0,0,0,7,0.0
Abu Zariba,LBA,1,0,5,0.33,3,4,9,1.0,3,8,0,1.0,0,1,1,0.0,0,5,29,0.33,61,3,149,20.33
Abulababa,LBA,31,11,19,10.33,0,7,2,0.0,8,6,0,2.67,3,11,45,1.0,0,7,19,0.67,0,0,14,0.0
Aciobanitei,ROU,15,3,13,5.0,1,2,4,0.33,3,2,0,1.0,3,8,16,1.0,0,4,13,0.33,0,0,9,0.0
Adajar,PHI,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Adriano,BRA,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Ahyi,NED,46,18,29,15.33,3,7,11,1.0,10,7,0,3.33,0,0,3,0.0,0,10,24,4.0,1,0,8,0.33
Alan,BRA,22,8,17,11.0,2,7,7,1.0,11,4,0,5.5,0,0,0,0.0,0,4,17,0.5,0,0,2,0.0
