Player Name,Team,Position,Age,Height,Impact,Attacking Rating,Blocking Rating,Serving Rating,Setting Rating,Defense Rating,Receiving Rating,Running Sets,Setting Errors,Still Sets,Sets Per Match,Successful Receives,Receiving Errors,Service Receptions,Receives Per Match,Aces,Service Errors,Service Attempts,Serves Per Match,Blocks,Blocking Errors,Rebounds,Blocks Per Match,Great Saves,Defensive Errors,Defensive Receptions,Digs Per Match,Kills,Attacking Errors,Attacking Attempts,Attacks Per Match
A. Lagumdzija,TUR,OPPOSITE SPIKER,26,211cm,82.92,72.08,18.06,36.12,0.18,70.11,0.0,1,0,4,0.25,1,1,2,0.25,5,19,42,1.25,4,13,11,1.0,25,14,5,6.25,60,18,65,15.0
A. Nikolov,BUL,OUTSIDE HITTER,21,207cm,84.21,87.52,29.61,46.18,0.35,44.94,21.25,6,1,36,0.5,46,19,191,3.83,16,46,100,1.33,15,26,22,1.25,61,17,31,5.08,177,54,124,14.75
Adamczyk,POL,MIDDLE BLOCKER,26,208cm,17.61,13.09,15.05,3.36,0.0,0.0,0.0,0,0,3,0.0,0,0,1,0.0,1,5,23,0.25,3,6,4,0.75,2,4,4,0.5,11,1,8,2.75
Adriano,BRA,OUTSIDE HITTER,23,201cm,3.81,0.82,0.57,5.94,0.0,2.17,2.62,0,0,9,0.0,9,2,38,0.6,4,7,41,0.27,1,1,5,0.07,9,6,4,0.6,12,10,21,0.8
Ahyi,NED,OPPOSITE SPIKER,27,200cm,68.9,76.03,26.27,3.33,0.07,0.0,0.0,2,0,22,0.17,0,0,2,0.0,3,42,70,0.25,14,28,22,1.17,33,36,29,2.75,161,53,115,13.42
Alan,BRA,OPPOSITE SPIKER,31,202cm,100.0,91.71,48.49,14.05,0.09,29.64,0.0,2,0,16,0.18,1,1,8,0.09,8,23,121,0.73,20,27,36,1.82,43,16,23,3.91,159,40,104,14.45
Alexandre,BRA,LIBERO,27,190cm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Alonso,CUB,MIDDLE BLOCKER,28,202cm,18.63,8.4,19.95,0.0,0.06,1.51,0.0,1,0,2,0.08,2,3,4,0.15,0,5,62,0.0,13,27,31,1.0,7,4,7,0.54,26,5,19,2.0
Amin,IRI,OPPOSITE SPIKER,28,203cm,78.7,80.62,12.5,29.23,0.4,39.11,0.0,5,1,22,0.5,1,2,7,0.1,11,22,104,1.1,8,27,33,0.8,44,20,15,4.4,139,40,102,13.9
Antov,BUL,OPPOSITE SPIKER,21,196cm,38.27,42.06,5.03,14.1,0.04,10.97,0.0,1,0,6,0.08,0,1,0,0.0,7,39,69,0.58,5,23,23,0.42,28,18,19,2.33,100,35,72,8.33
Anzani,ITA,MIDDLE BLOCKER,33,204cm,37.79,16.49,40.03,1.37,0.03,5.4,0.48,1,0,12,0.09,2,1,9,0.18,2,9,112,0.18,19,41,48,1.73,14,5,14,1.27,35,7,20,3.18
Ariakhah,IRI,OPPOSITE SPIKER,19,205cm,8.1,6.53,6.49,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,3,3,0.0,1,0,0,0.25,1,0,0,0.25,6,2,3,1.5
Arman,IRI,LIBERO,32,180cm,55.75,0.0,0.0,0.0,0.06,31.7,40.36,2,0,36,0.17,42,4,60,3.5,0,0,0,0.0,0,0,0,0.0,44,15,17,3.67,0,0,0,0.0
Armoa Morel,ARG,OUTSIDE HITTER,22,195cm,13.04,6.64,9.18,0.0,0.06,0.0,12.62,1,0,7,0.12,15,4,40,1.88,0,9,27,0.0,4,7,5,0.5,7,10,3,0.88,17,8,15,2.12
Arshia,IRI,SETTER,22,194cm,50.97,0.67,5.2,0.44,54.52,21.43,0.0,266,6,447,22.17,0,2,2,0.0,1,21,83,0.08,5,24,18,0.42,37,20,15,3.08,5,2,10,0.42
Arthur,BRA,OUTSIDE HITTER,21,205cm,13.7,15.64,4.51,2.12,0.04,7.67,4.07,1,0,5,0.08,13,7,46,1.0,2,5,39,0.15,4,9,7,0.31,16,4,7,1.23,40,6,25,3.08
Asparuhov,BUL,OUTSIDE HITTER,25,201cm,28.03,22.31,12.84,0.46,0.0,10.27,18.6,0,1,35,0.0,38,16,129,3.17,1,19,79,0.08,9,22,27,0.75,27,12,30,2.25,69,22,76,5.75
Atanasov,BUL,OUTSIDE HITTER,28,196cm,11.3,7.99,3.1,9.31,0.0,2.13,7.33,0,0,6,0.0,17,7,55,1.42,4,10,28,0.33,3,8,8,0.25,8,4,8,0.67,32,14,36,2.67
B. Bayraktar,TUR,LIBERO,27,190cm,64.22,0.0,0.0,0.0,0.08,54.86,28.15,3,0,77,0.25,53,18,199,4.42,0,0,0,0.0,0,0,0,0.0,78,35,41,6.5,0,0,0,0.0
Bak,NED,OUTSIDE HITTER,23,198cm,1.17,0.43,0.77,0.0,0.0,1.63,0.48,0,0,2,0.0,2,0,16,0.17,0,2,4,0.0,1,3,1,0.08,6,4,3,0.5,5,4,8,0.42
Balaso,ITA,LIBERO,29,178cm,64.73,0.0,0.0,0.0,0.02,40.47,43.21,1,1,33,0.09,51,6,122,4.64,0,0,0,0.0,0,0,0,0.0,62,27,45,5.64,0,0,0,0.0
Bayram,TUR,OUTSIDE HITTER,23,194cm,15.95,15.25,5.35,0.0,0.0,11.02,6.93,0,0,1,0.0,8,4,21,1.33,0,9,22,0.0,2,3,3,0.33,11,4,6,1.83,20,5,14,3.33
Bedirhan,TUR,MIDDLE BLOCKER,26,201cm,46.75,42.65,32.19,13.04,0.02,10.15,7.81,1,0,23,0.08,12,0,25,1.0,8,25,117,0.67,18,49,44,1.5,23,10,16,1.92,70,11,27,5.83
Bednorz,POL,OUTSIDE HITTER,31,201cm,16.13,7.47,9.06,0.0,0.0,2.43,16.16,0,0,6,0.0,10,3,18,2.0,0,4,8,0.0,2,2,0,0.4,3,1,2,0.6,10,3,8,2.0
Berkhout,NED,SETTER,25,198cm,26.99,0.22,1.51,0.49,31.89,0.0,0.0,173,1,313,14.42,0,0,1,0.0,1,6,71,0.08,2,11,9,0.17,16,20,16,1.33,2,0,7,0.17
Bisset,CUB,OPPOSITE SPIKER,30,200cm,4.63,4.8,1.18,0.0,0.34,3.17,0.39,4,0,6,0.31,1,0,2,0.08,0,7,13,0.0,2,7,18,0.15,8,1,4,0.62,19,9,13,1.46
Boiko,UKR,LIBERO,22,180cm,79.58,0.0,0.0,0.0,0.07,53.08,49.79,3,0,91,0.25,68,12,185,5.67,0,0,0,0.0,0,0,0,0.0,85,55,41,7.08,0,0,0,0.0
Boninfante,ITA,SETTER,21,188cm,0.82,0.0,0.0,0.0,0.63,1.63,0.0,4,0,44,1.0,0,1,0,0.0,0,4,6,0.0,0,1,1,0.0,2,0,3,0.5,1,0,0,0.25
Bottolo,ITA,OUTSIDE HITTER,25,196cm,17.92,12.39,9.01,3.49,0.02,6.26,12.14,1,0,12,0.07,24,3,56,1.6,3,24,43,0.2,7,6,11,0.47,16,3,8,1.07,49,15,46,3.27
Bovolenta,ITA,OPPOSITE SPIKER,21,202cm,19.02,19.78,2.49,4.18,0.0,14.26,0.0,0,0,1,0.0,0,0,2,0.0,1,5,16,0.25,1,3,7,0.25,8,3,3,2.0,18,4,16,4.5
Bozhilov,BUL,LIBERO,37,190cm,26.62,0.0,0.0,0.0,0.1,8.44,25.95,3,0,45,0.25,46,15,147,3.83,0,0,0,0.0,0,0,0,0.0,24,11,29,2.0,0,0,0,0.0
Bołądź,POL,OPPOSITE SPIKER,30,204cm,9.45,7.99,7.09,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0,0,0.0,0,7,10,0.0,3,6,5,0.43,3,1,0,0.43,14,8,6,2.0
Brand,GER,OUTSIDE HITTER,27,194cm,47.73,45.85,22.26,2.47,0.0,33.89,16.15,0,0,32,0.0,28,14,138,3.5,2,12,77,0.25,9,29,16,1.12,33,15,13,4.12,76,22,69,9.5
